Formula,InChI
SiC8H,InChI=1S/C8HSi/c1-2-3-4-5-6-7-8-9/h1H
Al,InChI=1S/Al
Ar,InChI=1S/Ar
AlO,InChI=1S/Al.O
C,InChI=1S/C
C-,InChI=1S/C/q-1
C+,InChI=1S/C/q+1
Cl,InChI=1S/Cl
Cl+,InChI=1S/Cl/q+1
CR,
CRP,
C2,InChI=1S/C2/c1-2
C2+,InChI=1S/C2/c1-2/q+1
CCl,InChI=1S/CCl/c1-2
CCl+,InChI=1S/CCl/c1-2/q+1
CD,InChI=1S/CH/h1H/i1D
CF+,InChI=1S/CF/c1-2/q+1
CH,InChI=1S/CH/h1H
CH+,InChI=1S/CH/h1H/q+1
Cl2,InChI=1S/Cl2/c1-2
ClO,InChI=1S/ClO/c1-2
ClO+,InChI=1S/ClO/c1-2/q+1
CN,InChI=1S/CN/c1-2
CN-,InChI=1S/CN/c1-2/q-1
CN+,InChI=1S/CN/c1-2/q+1
CO,InChI=1S/CO/c1-2/i1+1
CO+,InChI=1S/CO/c1-2/q+1
CP,InChI=1S/CP/c1-2
CP+,InChI=1S/CP/c1-2/q+1
CS,InChI=1S/CS/c1-2
CS+,InChI=1S/CS/c1-2/q+1
C2H,InChI=1S/C2H/c1-2/h1H
C2H+,InChI=1S/C2H/c1-2/h1H/q+1
C2N,InChI=1S/C2N/c1-2-3
C2N+,InChI=1S/C2N/c1-2-3/q+1
C2O,InChI=1S/C2O/c1-2-3
C2O+,InChI=1S/C2O/c1-2-3/q+1
C2P,InChI=1S/C2P/c1-2-3
C2S,InChI=1S/C2S/c1-2-3
C2S+,InChI=1S/C2S/c1-2-3/q+1
C3,InChI=1S/C3/c1-3-2
C3-,InChI=1S/C3/c1-3-2/q-1
C3+,InChI=1S/C3/c1-3-2/q+1
CCP+,InChI=1S/C2P/c1-2-3/q+1
CH2,InChI=1S/CH2/h1H2
CH2+,InChI=1S/CH2/h1H2/q+1
CHSi+,InChI=1S/CHSi/c1-2/h1H/q+1
ClO2,InChI=1S/ClO2/c1-3-2
ClOH,InChI=1S/ClHO/c1-2/h2H
CN2,InChI=1S/CN2/c1-3-2
CNC+,InChI=1S/C2N/c1-3-2/q+1
CNO,InChI=1S/CNO/c1-2-3
CO2,InChI=1S/CO2/c2-1-3
CO2+,InChI=1S/CO2/c2-1-3/q+1
CSH+,InChI=1S/CHS/c1-2/h2H/q+1
C2H2,InChI=1S/C2H2/c1-2/h1-2H
C2H2+,InChI=1S/C2H2/c1-2/h1-2H/q+1
C2HO+,InChI=1S/C2HO/c1-2-3/h2H/q+1
C2HP,InChI=1S/C2HP/c1-2-3/h1H
